Valeur X;Valeur Y
82;55
85;56
92;60
106;69
116;75
124;79
129;83
135;88
137;91
138;93
141;98
141;105
139;110
130;123
120;131
107;139
96;142
86;142
75;142
69;142
62;142
59;143
52;147
47;148
45;150
42;154
39;160
35;170
32;178
31;187
31;194
31;200
35;202
35;205
47;212
66;217
76;218
86;221
91;222
96;223
110;228
116;232
118;233
119;237
122;241
123;244
125;252
125;261
125;265
125;273
124;278
118;289
110;302
104;310
99;318
95;325
92;331
86;342
85;343
85;347
86;349
109;355
113;355
119;355
124;354
133;351
139;350
141;348
153;339
158;335
161;331
162;329
165;324
167;322
168;308
168;304
168;297
168;290
168;285
168;272
168;256
168;250
168;245
168;241
169;235
172;212
173;204
175;198
176;191
177;184
178;181
182;170
182;165
183;160
184;155
184;151
185;148
188;143
188;137
189;133
189;131
189;130
189;125
191;118
192;114
192;111
194;106
196;104
198;96
198;93
198;92
198;91
199;90
199;88
199;88
200;87
202;86
207;84
214;83
223;81
228;81
235;81
240;81
247;81
257;81
264;81
268;81
271;81
278;83
286;83
292;83
299;84
302;84
303;84
308;84
312;84
313;84
314;84
316;84
318;84
322;88
325;94
328;107
330;120
334;147
334;167
332;186
329;198
325;213
325;217
322;242
322;257
322;265
322;274
322;280
322;289
324;299
325;304
325;308
325;311
325;315
325;316
325;316
323;316
319;316
312;316
300;316
293;316
284;316
282;316
276;316
272;316
267;316
259;316
256;316
254;316
252;316
251;316
249;316
249;316
249;311
249;304
249;294
249;272
249;260
249;249
249;240
249;236
249;229
249;226
251;221
251;218
252;215
254;213
254;210
254;209
