x;y
69;61
76;57
85;53
104;45
132;37
145;35
163;33
181;3
212;29
235;29
253;29
280;29
295;29
309;29
317;3
334;35
340;38
345;43
347;45
348;5
349;53
349;61
348;65
346;7
341;75
325;84
323;85
311;92
293;96
282;99
275;1
264;1
252;1
225;1
214;1
196;1
188;1
184;1
173;1
160;1
153;1
147;102
136;104
127;105
115;108
108;108
106;11
102;112
100;113
100;114
95;125
95;13
95;135
95;138
96;14
97;143
103;148
110;153
128;158
140;159
157;159
173;159
211;157
225;157
232;157
244;159
252;161
260;163
262;166
262;167
262;17
261;175
253;185
239;191
225;198
219;201
214;204
212;206
205;214
204;217
203;22
201;222
199;224
191;229
180;229
174;229
165;227
142;222
135;221
122;218
114;218
106;218
102;218
98;218
95;218
92;22
90;222
89;223
87;225
86;225
85;227
83;233
83;236
83;24
82;244
81;249
77;269
75;276
75;282
75;287
75;294
75;296
76;315
78;323
78;325
78;326
78;328
82;329
91;329
110;326
124;325
144;323
187;319
203;319
212;319
233;319
248;319
255;319
269;323
284;323
291;323
297;323
301;323
306;321
313;319
316;316
320;309
325;301
327;295
328;292
332;282
333;276
333;265
333;25
333;237
333;222
333;217
333;214
333;213
333;211
331;211
327;21
315;209
310;21
302;212
298;214
294;215
290;218
282;221
278;223
270;228
262;232
259;233
253;236
248;238
246;24
245;241
243;242
241;244
239;247
237;247
235;247
235;247
